symbol,name,market_cap,close,IPOyear,Sector,Industry,trading_on,prev_close,year_low,year_high,volume,beta,pe_ratio,eps,av
MELI,MercadoLibre,29779742742,599.07,2007.0,Miscellaneous,Business Services,NASDAQ,473.29,422.22,756.48,662564,1.53,,-3.71,0.4124
MCHP,Microchip Technology Incorporated,19517562432,81.48,1993.0,Technology,Semiconductors,NASDAQ,68.99,53.15,112.47,5362666,1.36,26.83,2.53,0.2853
MU,Micron Technology,53166408294,47.86,,Technology,Semiconductors,NASDAQ,44.52,31.13,61.19,36723661,,20.77,,0.4467
MSFT,Microsoft Corporation,1223965084849,160.92,1986.0,Technology,Computer Software: Prepackaged Software,NASDAQ,160.23,118.38,190.7,66949339,1.09,27.47,5.74,0.2401
MDLZ,"Mondelez International,",78682900459,54.91,,Consumer Non-Durables,Packaged Foods,NASDAQ,51.13,41.19,59.96,9248777,0.77,18.9,2.65,0.2028
MNST,Monster Beverage Corporation,35504941870,66.13,,Consumer Non-Durables,Beverages (Production/Distribution),NASDAQ,58.0,50.06,70.52,2337061,1.08,27.71,2.03,0.2937
NTAP,NetApp,9618988991,43.49,1995.0,Technology,Electronic Components,NASDAQ,40.72,34.66,78.35,3650727,1.57,9.78,4.26,0.3087
NTES,"NetEase, Inc. American Depositary Shares",1038753266612,324.71,,Miscellaneous,Business Services,NASDAQ,306.91,209.01,361.0,860463,0.9,48.13,6.67,0.3725
NFLX,Netflix,159782665100,364.13,2002.0,Consumer Services,Consumer Electronics/Video Chains,NASDAQ,370.96,252.28,393.52,9366464,1.23,90.92,4.13,0.4193
NVDA,NVIDIA Corporation,159780960000,261.08,1999.0,Technology,Semiconductors,NASDAQ,265.59,132.6,316.32,23749014,1.67,58.32,4.52,0.3872
NXPI,NXP Semiconductors N.V.,29891357914,106.85,2010.0,Technology,Semiconductors,NASDAQ,84.93,58.41,139.59,2563135,1.34,97.56,0.85,0.3538
ORLY,O'Reilly Automotive,29473498922,393.52,1993.0,Consumer Services,Other Specialty Stores,NASDAQ,318.19,251.52,454.31,1014790,0.71,16.84,17.88,0.2451
PCAR,PACCAR,22391742591,64.65,,Capital Goods,Auto Manufacturing,NASDAQ,62.27,49.11,83.41,2264502,1.26,8.9,6.87,0.2337
PAYX,Paychex,27491826881,76.71,1983.0,Consumer Services,Diversified Commercial Services,NASDAQ,64.42,47.87,90.54,5369586,0.86,20.5,3.07,0.1758
PYPL,PayPal Holdings,128720134924,109.74,,Miscellaneous,Business Services,NASDAQ,97.03,82.07,124.45,9882034,0.92,46.25,2.07,0.2916
PEP,PepsiCo,186393515059,134.14,,Consumer Non-Durables,Beverages (Production/Distribution),NASDAQ,125.48,101.42,147.2,7093100,0.54,23.1,5.2,0.1476
QCOM,QUALCOMM Incorporated,90174646965,78.89,1991.0,Technology,Radio And Television Broadcasting And Communications Equipment,NASDAQ,69.03,55.79,96.17,13216270,1.47,19.2,3.52,0.2951
REGN,Regeneron Pharmaceuticals,52261609671,475.02,1991.0,Health Care,Major Pharmaceuticals,NASDAQ,473.0,271.37,518.0,1954085,0.8,26.45,18.46,0.3469
ROST,Ross Stores,36552166533,101.85,1985.0,Consumer Services,Clothing/Shoe/Accessory Stores,NASDAQ,84.87,56.3,124.16,4875767,0.71,18.91,4.6,0.2352
SGEN,Seattle Genetics,18507576259,107.44,2001.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ,115.29,62.9,124.32,976533,1.71,,-0.96,0.4312
SIRI,Sirius XM Holdings,27940268527,6.33,,Consumer Services,Broadcasting,NASDAQ,4.81,4.11,7.4,28503743,1.03,24.7,0.2,0.2224
SWKS,Skyworks Solutions,16299164788,95.79,,Technology,Semiconductors,NASDAQ,90.11,66.29,128.48,3250849,1.3,18.71,4.78,0.3525
SPLK,Splunk,20631634613,132.28,2012.0,Technology,Computer Software: Prepackaged Software,NASDAQ,127.22,93.92,176.31,2470916,1.73,,-2.22,0.4376
SBUX,Starbucks Corporation,87874919000,74.87,1992.0,Consumer Services,Restaurants,NASDAQ,67.86,50.02,99.72,20109803,0.58,21.53,3.05,0.2079
SNPS,Synopsys,20309207057,135.19,1992.0,Technology,Computer Software: Prepackaged Software,NASDAQ,129.31,104.9,166.87,1504233,1.15,41.38,3.11,0.2095
TMUS,T-Mobile US,72822153168,84.98,,Public Utilities,Telecommunications Equipment,NASDAQ,83.12,63.5,101.35,4745071,0.19,20.87,4.02,0.3192
TTWO,Take-Two Interactive Software,13469138356,118.75,1997.0,Technology,Computer Software: Prepackaged Software,NASDAQ,118.51,87.97,135.7,1554897,0.93,40.1,2.96,0.336
TSLA,Tesla,118991808868,645.33,2010.0,Capital Goods,Auto Manufacturing,NASDAQ,502.13,176.99,968.99,17771485,0.48,,-4.92,0.5103
TXN,Texas Instruments Incorporated,104717346402,112.12,,Technology,Semiconductors,NASDAQ,102.02,93.09,135.7,8970003,1.15,19.08,5.24,0.2432
KHC,The Kraft Heinz Company,29924288951,24.5,,Consumer Non-Durables,Packaged Foods,NASDAQ,25.17,19.99,33.78,5837796,1.09,15.66,1.58,0.2996
TCOM,Trip.com Group Limited American Depositary Shares,17081759444,29.03,,,,NASDAQ,22.51,20.1,46.5,6957687,1.74,,,0.4261
ULTA,Ulta Beauty,13664990419,239.06,2007.0,Consumer Services,Other Specialty Stores,NASDAQ,179.71,124.05,368.83,1074645,1.13,14.46,12.15,0.3599
UAL,United Airlines Holdings,13032310657,52.56,,Transportation,Air Freight/Delivery Services,NASDAQ,30.16,17.8,96.03,16568762,1.37,2.72,11.58,0.3637
VRSN,VeriSign,21660684332,186.06,1998.0,Technology,EDP Services,NASDAQ,188.55,148.77,221.78,976405,0.95,34.97,5.15,0.2264
VRSK,Verisk Analytics,25560523933,156.74,2009.0,Technology,EDP Services,NASDAQ,146.87,116.61,171.73,1269883,0.63,51.62,2.7,0.1898
VRTX,Vertex Pharmaceuticals Incorporated,59764003372,230.51,1991.0,Health Care,Major Pharmaceuticals,NASDAQ,231.92,163.68,249.85,3187214,1.32,52.76,4.51,0.4047
WBA,Walgreens Boots Alliance,43548957436,49.16,,Health Care,Medical/Nursing Services,NASDAQ,45.16,40.52,64.5,9310877,0.89,11.22,4.08,0.2572
WDC,Western Digital Corporation,14931630223,49.95,,Technology,Electronic Components,NASDAQ,43.51,27.4,72.0,6806333,1.78,,-4.04,0.3925
WLTW,Willis Towers Watson Public Limited Company,24156655132,187.67,,Finance,Specialty Insurers,NASDAQ,172.95,143.34,220.97,1038832,0.83,21.18,8.02,0.188
WDAY,"Workday,",34871920000,150.31,,Technology,EDP Services,NASDAQ,137.3,107.75,226.83,3849368,1.42,,-2.12,0.3737
XEL,Xcel Energy,35934581454,68.49,,Public Utilities,Power Generation,NASDAQ,62.56,46.58,72.14,6831878,0.27,22.84,2.64,0.163
XLNX,Xilinx,19312205499,77.61,1990.0,Technology,Semiconductors,NASDAQ,79.35,67.68,141.6,2645659,1.08,22.86,3.41,0.3003
F,Ford Motor Company,20000000000,-1.0,1956.0,Capital Goods,Auto Manufacturing,NYSE,5.03,3.96,10.56,230390259,1.16,483.0,0.01,0.2507
GM,General Motors Com...,30000000000,-1.0,2010.0,Capital Goods,Auto Manufacturing,NYSE,21.32,14.33,41.9,19991250,1.3,4.55,4.57,0.2647
HOG,Harley-Davidson In...,2000000000,-1.0,1986.0,Capital Goods,Auto Manufacturing,NYSE,17.92,14.31,41.4,5228044,1.15,7.06,2.68,0.2892
HMC,Honda Motor Co Ltd...,42000000000,-1.0,1978.0,Capital Goods,Auto Manufacturing,NYSE,23.41,19.38,29.44,1007072,1.14,3.88,5.79,0.2084
TM,Toyota Motor Corp ...,205000000000,-1.0,1999.0,Capital Goods,Auto Manufacturing,NYSE,125.22,108.01,145.41,356475,0.89,7.33,16.36,0.1885
TTM,Tata Motors Limite...,3000000000,-1.0,2004.0,Capital Goods,Auto Manufacturing,NYSE,4.55,4.17,17.14,1864405,1.62,2.44,1.935,0.3845
FCAU,Fiat Chrysler Automobiles,14000000000,-1.0,2014.0,Capital Goods,Auto Manufacturing,NYSE,6.97,6.0,16.69,3422021,,3.1,,0.3969
VOW3.DE,Volkswagen,55000000000,-1.0,1998.0,Capital Goods,Auto Manufacturing,Other,106.84,79.38,187.74,614197,1.54,3.81,26.62,0.3149
