district,total_case_count,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19
"Medchal Malkajgiri, TG",25.0,,,,,36.67,16.67,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Medinipur East, WB",51.0,,,,,,,,,,,,,,,,63.33,43.33,33.33,2.5,6.94,10.58,10.58,10.58,8.08,3.64
"Medinipur West, WB",20.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
"Meerut, UP",331.0,,,,39.32,36.65,24.98,19.27,19.93,17.48,28.63,33.58,33.4,28.89,30.59,19.61,14.5,13.43,12.66,11.09,8.16,5.87,6.78,6.06,5.39,4.15
"Mirpur, JK",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Mirzapur, UP",24.0,,,,,,,,,,,,,,,,,,,,20.0,0.0,0.0,10.0,16.67,21.67
"Moga, PB",59.0,,,,,,,,,,,,440.0,0.0,0.0,0.0,0.0,1.74,1.74,1.74,1.74,1.74,0.0,0.0,0.0,0.0
"Mokokchung, NL",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Mon, NL",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Moradabad, UP",169.0,,,,59.84,16.51,17.37,18.05,18.61,12.25,9.54,7.29,5.37,3.72,4.06,6.51,6.35,6.19,6.05,7.3,10.04,10.44,10.82,12.21,9.53,3.95
"Morbi, GJ",2.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Morena, MP",38.0,,,,,,,,,,,,,38.69,18.69,8.69,5.36,2.5,0.0,0.0,0.0,0.0,0.0,6.67,15.0,19.71
"Morigaon, AS",6.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Mulugu, TG",2.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Mumbai, MH",21335.0,,,,76.36,35.29,15.78,12.7,11.64,11.85,9.03,7.19,9.07,10.26,10.36,11.36,12.62,11.18,9.61,8.82,8.61,7.94,7.51,8.99,8.93,7.04
"Mumbai Suburban, MH",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Mungeli, CT",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Munger, BR",133.0,,,,,26.43,31.24,31.91,22.19,23.48,14.03,7.98,6.21,4.68,3.34,3.23,3.62,4.35,5.01,5.61,6.16,6.17,5.81,6.54,7.16,6.0
"Murshidabad, WB",12.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Muzaffarabad, JK",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Muzaffarnagar, UP",30.0,,,,33.33,13.33,3.33,2.86,5.36,7.58,7.58,7.58,4.72,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.82
"Muzaffarpur, BR",30.0,,,,,,,,,,,,,,,,,,,,,,45.67,31.22,25.57,18.9
"Mysuru, KA",89.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Nabarangapur, OR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Nadia, WB",16.0,,,,,,,,,,,,,,,,,,,,,,,,,20.0
"Nagaon, AS",3.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Nagapattinam, TN",51.0,,,,,,,,,,,,,,,,,,,,,,,,,45.67
"Nagarkurnool, TG",2.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Nagaur, RJ",196.0,,,,23.42,13.82,8.76,5.24,5.29,6.16,6.96,6.22,5.56,4.97,4.44,3.96,3.81,5.03,5.48,5.11,7.61,7.24,5.68,6.17,6.07,5.98
"Nagpur, MH",375.0,,,,38.32,19.18,9.39,10.5,11.29,9.74,11.76,14.06,9.88,8.89,8.6,6.82,6.64,7.16,5.29,8.29,8.06,5.9,6.34,5.94,3.36,2.5
"Nainital, UT",23.0,,,,,,,,,,,,,,,,,,,,,,,,50.67,50.67
"Nalanda, BR",72.0,,,,40.19,10.19,6.19,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,27.0,27.95,29.77,31.44,28.74,8.12,8.46,7.25,9.11,6.81
"Nalbari, AS",6.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Nalgonda, TG",17.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Namakkal, TN",77.0,,,,,41.67,21.67,11.67,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Namsai, AR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Nanded, MH",78.0,,,,,,,,,,,,,,27.57,26.9,23.61,19.93,16.75,9.87,5.72,5.69,6.94,7.89,7.15,5.3
"Nandurbar, MH",25.0,,,,30.0,10.0,0.0,0.0,0.0,2.22,4.22,6.04,6.04,6.04,3.82,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,3.33
"Narayanpet, TG",1.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Narayanpur, CT",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Narmada, GJ",13.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Narsimhapur, MP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Narsinghpur, MP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Nashik, MH",857.0,,,,46.19,20.11,14.59,14.63,14.66,17.32,15.17,13.52,18.82,23.84,20.87,21.81,24.19,18.0,12.66,11.22,10.88,7.54,5.97,4.4,4.18,1.82
"Navsari, GJ",8.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Nawada, BR",41.0,,,,,,,,,,,,,,,,,,,,60.19,42.69,22.69,19.43,16.81,17.4
"Nayagarh, OR",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Neemuch, MP",50.0,,,,,,,,,,,,,,,,,,,,64.22,58.22,15.82,9.46,6.7,2.45
"Nicobars, AN",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Nilgiris, TN",14.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Nirmal, TG",20.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Niwari, MP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Nizamabad, TG",61.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Noney, MN",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"North  District, SK",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"North 24 Parganas, WB",396.0,,,,45.67,29.0,21.86,17.69,14.91,12.91,11.4,9.9,9.53,9.62,9.0,8.36,7.81,7.83,6.84,6.54,6.61,6.09,5.04,5.03,5.63,5.27
"North District, SK",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"North Garo Hills, ML",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"North Goa, GA",6.0,,,,,,,,,,,,,,,,,,,,,,,,,
"North Tripura, TR",4.0,,,,,,,,,,,,,,,,,,,,,,,,,
"North and Middle Andaman, AN",1.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Nuapada, OR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Nuh, HR",65.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Osmanabad, MH",11.0,,,,,,,,,,,,,,,,,,,,,,,,45.67,25.67
"Other Region, MP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Pakke Kessang, AR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Pakur, JH",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Palakkad, KL",26.0,,,,,,,,,,,,,,,,,,,,,,,46.86,28.52,15.06
"Palamu, JH",15.0,,,,,,,,,,,,,,,,,,,45.67,29.0,19.0,12.33,7.33,3.33,0.0
"Palghar, MH",437.0,,,,43.09,26.8,18.05,16.56,11.79,11.45,8.62,8.2,7.82,15.17,12.86,13.96,16.5,20.12,14.02,15.65,14.99,14.55,12.77,13.0,10.79,9.47
"Pali, RJ",209.0,,,,,,,,,37.16,21.77,21.08,20.6,20.55,15.87,12.49,9.2,7.18,4.37,8.8,8.39,9.99,8.99,10.78,5.55,14.47
"Palwal, HR",40.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Panch Mahals, GJ",71.0,,,,,42.57,41.0,31.23,31.23,31.23,31.23,26.39,22.12,20.05,10.29,8.97,7.18,7.67,6.98,6.41,6.17,6.59,6.14,5.17,3.74,3.07
"Panchkula, HR",25.0,,,,,,,,,,,,,,,,,,,,,38.69,18.69,8.69,5.36,2.5
"Panipat, HR",40.0,,,,,,87.33,7.33,3.33,0.0,8.57,10.57,19.66,20.91,22.09,14.63,12.63,3.54,2.29,1.11,0.0,0.0,0.0,0.0,1.05,2.05
"Panna, MP",2.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Papum Pare, AR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Parbhani, MH",7.0,,,,,,,,,,,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Paschim Bardhaman, WB",19.0,,,,,,,,,,,,,,,,45.67,29.0,19.0,12.33,7.33,3.33,0.0,0.0,0.0,2.86
"Pashchimi Singhbhum, JH",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Patan, GJ",53.0,,,,,,,0.0,60.0,65.0,69.0,72.33,72.33,12.33,7.33,3.33,0.0,2.86,5.36,9.8,15.26,16.68,17.83,19.77,21.69,19.0
"Pathanamthitta, KL",22.0,,,,,,,,,,,,,,,,,,,,,,,,20.0,10.0
"Pathankot, PB",29.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Patiala, PB",103.0,,,,36.04,17.71,8.48,6.99,19.99,19.4,18.89,19.21,19.16,6.16,6.75,7.27,6.43,5.99,4.24,3.91,3.62,3.58,3.54,3.5,2.23,1.05
"Patna, BR",167.0,,,,39.66,38.56,25.38,16.36,10.34,5.87,2.34,1.89,1.85,1.82,3.17,5.34,7.23,9.65,10.86,13.26,12.09,11.11,9.23,15.87,11.96,10.79
"Pauri Garhwal, UT",4.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Peddapalli, TG",2.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Perambalur, TN",139.0,,,,,,,,,,,,45.83,80.83,71.72,65.91,67.08,60.76,14.91,14.25,14.32,10.65,10.3,1.15,0.92,0.0
"Peren, NL",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Phek, NL",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Pherzawl, MN",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Pilibhit, UP",24.0,,,,,,,,,,,,,,,,,,,,,,,,,43.61
"Pithoragarh, UT",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Porbandar, GJ",5.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Prakasam, AP",66.0,,,,47.94,19.75,13.42,9.25,8.45,6.45,4.63,2.97,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Pratapgarh, RJ",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Pratapgarh, UP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Pratapgarh(RJ), RJ",7.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Pratapgarh(UP), UP",45.0,,,,,,,,,,,,,41.67,21.67,11.67,5.0,0.0,8.0,10.86,13.36,15.58,17.58,11.4,10.21,9.25
"Prayagraj, UP",46.0,,,,,,,,,,,,,30.43,30.76,24.87,21.06,18.36,14.28,11.71,12.63,14.41,14.01,13.31,11.29,8.97
"Puducherry, PY",18.0,,,,,,,,,,,,,,45.67,29.0,21.86,15.19,10.19,6.19,5.36,4.72,4.72,4.72,4.72,2.22
"Pudukkottai, TN",7.0,,,,,,,,,,,,,,,,,,21.67,11.67,5.0,0.0,0.0,0.0,0.0,0.0
"Pulwama, JK",18.0,,,,,,,,,,35.19,17.69,14.91,12.91,13.22,13.44,10.94,8.71,6.71,3.08,0.0,1.33,3.83,6.06,7.06,8.01
"Punch, JK",3.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Pune, MH",4071.0,,,,46.85,23.96,13.69,15.32,12.65,9.95,11.41,11.26,8.73,6.92,6.33,5.03,10.88,11.74,12.63,14.12,14.72,8.4,8.41,8.05,7.47,6.01
"Purba Bardhaman, WB",16.0,,,,,,,,,,,,,,,,0.0,0.0,20.0,30.0,36.67,46.67,50.0,32.86,25.36,23.13
"Purbi Singhbhum, JH",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Puri, OR",33.0,,,,,,,,,,,,,,,,,,,,,,60.0,63.33,69.49,74.19
"Purnia, BR",31.0,,,,,,,,,,,,,,,,,,,,,,,45.67,29.0,19.0
"Purulia, WB",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Rae Bareli, UP",58.0,,,,,,,,,,,,,,,,,30.0,16.67,21.67,21.67,21.67,11.67,9.0,7.33,10.19
"Raichur, KA",7.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Raigarh(CG), CT",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Raigarh(CT), CT",2.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Raigarh(MH), MH",472.0,,,,45.67,35.67,30.11,,,,,,,,,,,,,,,,,,,
"Railway Quarantine, TN",2.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Raipur, CT",7.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Raisen, MP",67.0,,,,,,,,61.63,14.93,13.78,7.65,8.73,9.62,8.74,7.93,6.04,3.86,1.96,1.55,1.15,0.76,0.38,0.0,0.0,0.0
"Rajanna Sircilla, TG",3.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Rajgarh, MP",1.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Rajkot, GJ",82.0,,,,77.67,61.95,51.95,45.29,40.29,4.29,0.0,1.18,2.29,3.34,4.34,5.29,4.12,3.01,1.95,0.95,0.0,0.0,0.91,1.78,2.61,4.21
"Rajnandgaon, CT",1.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Rajouri, JK",8.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Rajsamand, RJ",53.0,,,,,,,,,,,,,45.67,45.67,39.0,33.76,34.1,31.15,16.15,16.01,16.65,11.95,11.5,12.38,9.18
"Ramanagara, KA",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Ramanathapuram, TN",39.0,,,,,30.0,10.0,6.67,11.67,15.67,19.0,20.43,15.1,11.35,8.52,7.41,6.98,9.46,9.01,8.6,7.12,6.12,2.31,1.51,0.74,1.43
"Ramban, JK",24.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Ramgarh, JH",3.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Rampur, UP",84.0,,,,,,,30.0,16.67,16.67,16.67,16.67,6.67,0.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,76.0,82.67,86.42,86.94
"Ranchi, JH",105.0,,,,,286.07,267.27,18.03,3.21,2.36,1.95,0.75,0.73,0.73,0.73,0.73,0.73,0.0,0.35,0.7,2.73,3.04,3.34,3.29,3.24,1.49
"Ranga Reddy, TG",44.0,,,,,36.67,16.67,6.67,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.33,10.19,10.19,10.19
"Ranipet, TN",84.0,,,,,,,,,,,,36.67,16.67,11.67,9.0,29.0,30.67,44.51,39.51,35.51,15.51,16.57,3.53,4.3,5.04
"Ratlam, MP",28.0,,,,,,,,,,,,0.0,20.0,30.0,30.0,30.0,30.0,10.0,13.33,13.33,13.33,13.33,13.33,0.0,0.0
"Ratnagiri, MH",101.0,,,,,,,,,,,,,,30.0,36.67,126.67,132.12,121.41,113.85,117.18,28.05,23.98,15.74,14.78,4.78
"Rayagada, OR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Reasi, JK",3.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Rewa, MP",14.0,,,,,,,,,,,,,,,,,,,,,,,47.15,28.82,18.82
"Rewari, HR",9.0,,,,,,,,,,,,,,,,,,,,,,,,36.67,16.67
"Ribhoi, ML",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Rohtak, HR",13.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,30.0,36.67,41.67,45.67,29.0
"Rohtas, BR",91.0,,,,,84.97,72.3,45.72,13.72,12.18,10.75,3.41,0.0,0.0,0.83,1.63,2.02,2.4,2.77,3.02,2.91,2.86,2.81,2.76,1.67,0.98
"Rudraprayag, UT",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Rupnagar, PB",60.0,,,,,,,,,,,,100.0,80.0,0.0,0.0,70.0,70.44,70.88,71.3,71.72,2.13,2.09,1.65,1.22,0.81
"S.A.S. Nagar, PB",102.0,,,,,,,,,,41.05,9.2,4.11,3.23,3.13,3.04,2.95,2.32,1.72,1.13,0.56,0.0,0.0,0.0,0.0,0.0
"S.P.S. Nellore, AP",157.0,,,,,,44.54,28.02,20.99,16.63,13.8,11.81,10.33,9.19,9.37,7.67,6.22,4.59,6.05,6.46,6.84,9.96,11.68,8.62,8.83,7.65
"Sabar Kantha, GJ",46.0,,,,,,,,,,,,,,,,40.75,38.61,23.44,16.15,11.48,8.15,7.23,9.93,8.83,10.76
"Sagar, MP",23.0,,,,,,,,,,,,,,,,,,,,,36.62,17.8,13.91,12.01,10.58
"Saharanpur, UP",218.0,,,,42.49,23.78,10.19,6.08,5.98,7.82,9.31,8.58,8.35,7.43,4.66,2.33,2.28,2.48,2.67,2.86,3.03,2.67,2.73,2.08,1.44,0.82
"Saharsa, BR",22.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,60.0
"Sahibganj, JH",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Saiha, MZ",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Saitual, MZ",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Salem, TN",49.0,,,,,30.0,10.0,6.67,11.67,11.67,11.67,11.67,9.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,16.67
"Samastipur, BR",16.0,,,,,,,,,,,,,,,,,,,,41.67,21.67,11.67,5.0,0.0,0.0
"Samba, JK",14.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,30.0
"Sambalpur, OR",3.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Sambhal, UP",55.0,,,,,42.25,26.06,24.36,18.55,15.06,10.94,7.7,7.46,4.92,4.89,6.16,7.29,7.52,7.36,5.09,3.6,2.25,5.33,5.83,7.43,7.07
"Sangareddy, TG",9.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Sangli, MH",53.0,,,,,,,,30.0,10.0,0.0,0.0,6.67,6.67,6.67,6.67,6.67,5.0,9.0,19.0,23.44,25.26,21.93,25.62,18.95,14.51
"Sangrur, PB",88.0,,,,,,,,,,,154.43,134.91,125.14,111.81,7.81,0.71,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sant Kabir Nagar, UP",40.0,,,,,34.55,16.98,14.41,10.8,11.67,12.3,12.77,13.13,13.39,9.76,6.82,4.36,2.26,3.8,5.16,4.89,4.62,4.27,2.44,1.38,1.94
"Saraikela-Kharsawan, JH",1.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Saraikela-kharsawan, JH",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Saran, BR",14.0,,,,,,30.0,16.67,11.67,15.67,15.67,15.67,9.0,4.0,0.0,0.0,0.0,0.0,0.0,3.33,3.33,3.33,3.33,3.33,8.57,8.57
"Satara, MH",140.0,,,,55.92,30.3,5.59,5.29,5.03,4.78,6.23,7.45,13.17,14.76,15.22,13.97,19.99,13.87,11.91,11.11,10.63,3.13,3.77,3.9,4.03,3.26
"Satna, MP",9.0,,,,,,,,,,,,,,,,,,,,,50.67,30.67,20.67,7.33,3.33
"Sawai Madhopur, RJ",17.0,,,,,,,,,,,,,,,,,,,,,36.67,16.67,6.67,0.0,0.0
"Sehore, MP",5.0,,,,,,,,,,,,,,,,,,,,,,,36.67,16.67,6.67
"Senapati, MN",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Seoni, MP",1.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Serchhip, MZ",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Shahdol, MP",3.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Shahid Bhagat Singh Nagar, PB",105.0,,,,,,,,36.67,16.67,6.67,0.0,0.0,5.0,9.0,9.0,9.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Shahjahanpur, UP",7.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Shajapur, MP",8.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Shamli, UP",37.0,,,,,,,,,,,,,,,,,,,,,,,,20.0,0.0
"Sheikhpura, BR",24.0,,,,,,,,,,,,,,,,,,,,,42.95,26.7,18.28,13.07,12.77
"Sheohar, BR",5.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,20.0,30.0,30.0
"Sheopur, MP",5.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Shi Yomi, AR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Shimla, HP",1.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Shivamogga, KA",26.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Shivpuri, MP",3.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Shrawasti, UP",22.0,,,,,,,0.0,0.0,20.0,30.0,36.67,41.67,45.67,29.0,21.86,17.69,12.69,8.69,5.36,2.5,0.0,0.0,0.0,0.0,0.0
"Shupiyan, JK",109.0,,,,34.62,28.25,27.79,17.92,12.03,12.03,12.03,12.28,9.04,6.32,7.18,7.61,6.33,6.15,6.28,4.9,3.82,3.7,2.93,2.23,2.21,1.83
"Siang, AR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Siddharthnagar, UP",49.0,,,,,,,,,,,,,,,28.58,9.91,8.16,6.73,8.52,9.0,9.4,8.95,10.85,7.85,5.95
"Siddipet, TG",1.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Sidhi, MP",5.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Sikar, RJ",52.0,,,,,,,,20.0,0.0,0.0,10.0,16.67,21.67,25.67,25.67,15.67,9.0,4.0,3.33,23.33,33.33,34.29,45.19,45.39,28.89
"Simdega, JH",3.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Sindhudurg, MH",10.0,,,,,,,,,,,,,,,,,,36.67,16.67,6.67,0.0,0.0,0.0,0.0,0.0
"Singrauli, MP",1.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Sipahijala, TR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Sirmaur, HP",4.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Sirohi, RJ",65.0,,,,,,,,,,,,,,,,,,,,108.77,89.82,20.82,28.12,29.99,24.64
"Sirsa, HR",8.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Sitamarhi, BR",9.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
"Sitapur, UP",34.0,,,,,,,,,,,,,,,,,,,,30.0,10.0,0.0,0.0,0.0,0.0
"Sivaganga, TN",26.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Sivasagar, AS",1.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Siwan, BR",45.0,,,,,,,,,,,,,,,20.0,0.0,0.0,0.0,40.0,43.33,46.19,51.19,51.19,11.19,7.86
"Solan, HP",9.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Solapur, MH",429.0,,,,53.7,43.58,19.08,20.16,17.47,14.11,13.9,7.44,18.25,17.79,17.78,16.91,24.6,16.59,16.98,16.89,17.93,10.18,5.73,4.08,7.43,5.58
"Sonbhadra, UP",3.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Sonipat, HR",139.0,,,,39.56,20.98,14.98,16.1,14.95,14.12,34.17,31.96,29.61,27.69,25.79,5.17,6.44,6.66,9.14,8.73,8.06,5.19,4.36,1.51,1.86,2.01
"Sonitpur, AS",1.0,,,,,,,,,,,,,,,,,,,,,,,,,
"South 24 Parganas, WB",102.0,,,,45.67,29.0,21.86,17.69,14.91,12.91,11.4,16.87,27.31,26.52,27.19,26.55,18.77,8.53,11.39,9.5,10.22,11.04,8.66,4.69,7.03,6.5
"South Andaman, AN",32.0,,,,44.09,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"South District, SK",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"South Garo Hills, ML",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"South Goa, GA",18.0,,,,,,,,,,,,,,,,,,,,,,,,,
"South Salmara Mancachar, AS",1.0,,,,,,,,,,,,,,,,,,,,,,,,,
"South Tripura, TR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"South West Garo Hills, ML",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"South West Khasi Hills, ML",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Sri Muktsar Sahib, PB",65.0,,,,,,,,,,,,166.08,146.08,2.74,1.52,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Srikakulam, AP",14.0,,,,,,,,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Srinagar, JK",168.0,,,,,,,41.49,58.76,46.97,40.4,37.35,39.38,12.99,12.73,12.1,11.36,4.89,4.0,2.72,1.92,3.86,4.74,5.02,8.36,8.36
"Subarnapur, OR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Sukma, CT",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Sultanpur, UP",28.0,,,,,,,,,,,,,,,,,,,,,,53.38,36.05,28.4,13.84
"Sundargarh, OR",27.0,,,,,,,,20.0,0.0,0.0,2.5,4.72,6.72,8.54,10.21,13.86,16.34,18.15,19.54,19.25,13.74,11.53,9.95,6.75,5.37
"Supaul, BR",25.0,,,,,,,,,,,,,,,,,,,,,,,76.67,16.67,16.67
"Surajpur, CT",7.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Surat, GJ",1156.0,,,,32.19,33.27,20.2,15.4,11.51,11.92,9.39,9.17,8.57,9.71,8.61,8.61,9.3,8.08,6.63,6.2,5.31,4.57,4.91,5.13,5.23,5.47
"Surendranagar, GJ",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Surguja, CT",1.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Suryapet, TG",83.0,,,,41.67,21.67,11.67,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Tamenglong, MN",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
