state_name,latest_ntod,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18
Haryana,23.83,14.0,14.0,14.0,15.0,16.0,17.0,19.0,21.0,21.0,28.0,30.0,31.0,32.0,33.0,35.0,35.0,36.0,43.0,43.0,49.0,58.0,84.0,90.0,110.0,143.0,167.0,170.0,176.0,179.0,195.0,196.0,198.0,204.0,215.0,223.0,232.0,250.0,251.0,255.0,264.0,270.0,275.0,287.0,296.0,301.0,308.0,311.0,339.0,357.0,376.0,442.0,517.0,548.0,594.0,625.0,647.0,675.0,703.0,730.0,780.0,793.0,818.0,854.0,887.0,910.0,928.0
Himachal Pradesh,18.83,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,6.0,13.0,14.0,18.0,27.0,27.0,28.0,28.0,32.0,32.0,32.0,33.0,35.0,35.0,38.0,39.0,39.0,39.0,39.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,41.0,42.0,43.0,46.0,50.0,52.0,58.0,59.0,67.0,68.0,74.0,76.0,78.0,80.0,90.0
Jammu and Kashmir,21.46,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,11.0,14.0,20.0,33.0,38.0,49.0,55.0,62.0,70.0,75.0,92.0,106.0,109.0,125.0,158.0,184.0,207.0,224.0,245.0,270.0,278.0,300.0,314.0,328.0,341.0,354.0,368.0,380.0,407.0,434.0,454.0,494.0,523.0,546.0,565.0,581.0,614.0,639.0,666.0,701.0,726.0,741.0,775.0,793.0,823.0,836.0,861.0,879.0,934.0,971.0,983.0,1013.0,1121.0,1183.0,1289.0
Jharkhand,20.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,13.0,14.0,17.0,19.0,24.0,27.0,28.0,29.0,32.0,33.0,41.0,46.0,46.0,46.0,53.0,59.0,67.0,82.0,103.0,105.0,107.0,110.0,113.0,115.0,115.0,115.0,125.0,127.0,132.0,154.0,156.0,157.0,161.0,172.0,177.0,203.0,211.0,217.0,223.0,228.0
Karnataka,15.5,6.0,6.0,7.0,9.0,14.0,15.0,15.0,20.0,26.0,33.0,41.0,51.0,55.0,64.0,81.0,83.0,88.0,101.0,110.0,124.0,128.0,144.0,151.0,163.0,175.0,181.0,197.0,207.0,215.0,232.0,247.0,260.0,279.0,315.0,359.0,384.0,390.0,408.0,418.0,427.0,445.0,474.0,500.0,503.0,512.0,523.0,535.0,565.0,589.0,601.0,614.0,651.0,673.0,693.0,705.0,753.0,794.0,848.0,862.0,925.0,959.0,987.0,1056.0,1092.0,1147.0,1246.0
Kerala,24.03,19.0,24.0,27.0,27.0,27.0,28.0,40.0,52.0,67.0,95.0,109.0,118.0,137.0,176.0,182.0,202.0,234.0,241.0,265.0,286.0,295.0,306.0,314.0,327.0,336.0,345.0,357.0,364.0,374.0,376.0,379.0,387.0,388.0,395.0,396.0,400.0,402.0,408.0,427.0,438.0,448.0,451.0,458.0,469.0,482.0,486.0,496.0,498.0,498.0,500.0,500.0,500.0,503.0,503.0,503.0,504.0,506.0,513.0,520.0,525.0,535.0,561.0,577.0,588.0,602.0,631.0
Ladakh,,0.0,0.0,0.0,0.0,8.0,8.0,10.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,17.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,20.0,20.0,20.0,22.0,22.0,22.0,22.0,23.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,43.0,43.0,43.0,43.0,43.0,43.0
Lakshadweep,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madhya Pradesh,15.74,0.0,0.0,,0.0,0.0,0.0,4.0,4.0,6.0,6.0,7.0,15.0,20.0,29.0,39.0,39.0,47.0,66.0,98.0,107.0,154.0,179.0,193.0,256.0,290.0,341.0,411.0,451.0,529.0,562.0,614.0,741.0,938.0,1164.0,1310.0,1402.0,1407.0,1485.0,1552.0,1587.0,1687.0,1846.0,1945.0,2090.0,2165.0,2387.0,2560.0,2625.0,2715.0,2788.0,2837.0,2942.0,3049.0,3138.0,3252.0,3341.0,3457.0,3614.0,3785.0,3986.0,4173.0,4426.0,4595.0,4790.0,4977.0,5236.0
Maharashtra,11.62,14.0,32.0,38.0,41.0,44.0,48.0,52.0,64.0,74.0,97.0,107.0,122.0,125.0,156.0,186.0,203.0,220.0,302.0,335.0,423.0,487.0,635.0,747.0,868.0,1018.0,1135.0,1364.0,1574.0,1761.0,1982.0,2334.0,2680.0,2916.0,3201.0,3321.0,3648.0,4200.0,4666.0,5218.0,5649.0,6427.0,6817.0,7628.0,8068.0,8590.0,9318.0,9915.0,10498.0,11506.0,12296.0,12974.0,14541.0,15525.0,16758.0,17974.0,19063.0,20228.0,22171.0,23401.0,24427.0,25922.0,27524.0,29100.0,30706.0,33053.0,35058.0
Manipur,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,7.0,7.0,7.0
Meghalaya,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,9.0,9.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
Mizoram,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Nagaland,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puducherry,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,12.0,12.0,12.0,13.0,16.0,16.0,17.0,17.0,17.0
Punjab,-13.69,1.0,1.0,1.0,1.0,2.0,2.0,3.0,13.0,21.0,23.0,29.0,31.0,33.0,38.0,38.0,38.0,41.0,42.0,46.0,47.0,53.0,65.0,68.0,79.0,99.0,106.0,130.0,151.0,158.0,170.0,176.0,184.0,186.0,197.0,211.0,234.0,244.0,245.0,251.0,278.0,283.0,298.0,308.0,322.0,330.0,342.0,375.0,480.0,585.0,772.0,1102.0,1232.0,1451.0,1526.0,1644.0,1731.0,1762.0,1823.0,1877.0,1914.0,1924.0,1935.0,1932.0,1946.0,1964.0,1980.0
Rajasthan,14.5,3.0,4.0,4.0,4.0,7.0,9.0,17.0,24.0,28.0,32.0,32.0,38.0,40.0,50.0,54.0,59.0,79.0,93.0,120.0,133.0,179.0,206.0,266.0,301.0,343.0,383.0,463.0,561.0,700.0,804.0,897.0,1005.0,1076.0,1131.0,1229.0,1351.0,1478.0,1576.0,1735.0,1888.0,1964.0,2034.0,2083.0,2185.0,2262.0,2364.0,2440.0,2584.0,2666.0,2772.0,2886.0,3061.0,3158.0,3317.0,3427.0,3579.0,3708.0,3814.0,3988.0,4126.0,4328.0,4534.0,4747.0,4960.0,5202.0,5507.0
Sikkim,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tamil Nadu,14.43,1.0,1.0,1.0,1.0,2.0,3.0,3.0,6.0,9.0,12.0,18.0,26.0,29.0,38.0,42.0,50.0,67.0,124.0,234.0,309.0,411.0,485.0,571.0,621.0,690.0,738.0,834.0,911.0,969.0,1075.0,1173.0,1204.0,1242.0,1267.0,1323.0,1372.0,1477.0,1520.0,1596.0,1629.0,1683.0,1755.0,1821.0,1885.0,1937.0,2058.0,2162.0,2323.0,2526.0,2757.0,3023.0,3550.0,4058.0,4829.0,5409.0,6009.0,6535.0,7204.0,8002.0,8718.0,9227.0,9674.0,10108.0,10585.0,11224.0,11760.0
Tripura,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,16.0,29.0,42.0,64.0,88.0,118.0,135.0,151.0,151.0,153.0,154.0,155.0,155.0,166.0,164.0,164.0
Uttar Pradesh,17.5,12.0,13.0,13.0,15.0,17.0,20.0,24.0,28.0,30.0,32.0,35.0,38.0,42.0,49.0,65.0,72.0,96.0,104.0,117.0,128.0,174.0,234.0,278.0,305.0,332.0,361.0,410.0,433.0,452.0,483.0,558.0,660.0,735.0,805.0,849.0,975.0,1100.0,1184.0,1337.0,1449.0,1510.0,1621.0,1793.0,1873.0,1986.0,2053.0,2134.0,2211.0,2328.0,2487.0,2645.0,2766.0,2880.0,2998.0,3071.0,3214.0,3373.0,3467.0,3573.0,3664.0,3758.0,3902.0,4057.0,4258.0,4464.0,4605.0
West Bengal,16.94,0.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,7.0,7.0,9.0,9.0,10.0,15.0,18.0,21.0,22.0,37.0,37.0,53.0,53.0,53.0,80.0,80.0,91.0,99.0,103.0,116.0,126.0,134.0,152.0,190.0,213.0,231.0,255.0,287.0,310.0,339.0,392.0,423.0,456.0,514.0,571.0,611.0,649.0,697.0,725.0,758.0,795.0,922.0,1198.0,1259.0,1344.0,1456.0,1548.0,1678.0,1786.0,1939.0,2063.0,2173.0,2290.0,2377.0,2461.0,2576.0,2677.0,2824.0
